	Plac.mean	E2.mean	E2c_Plac
1415803_at	45.9903679401899	49.813435595508	1.08312757271892
1415804_at	80.3561805306043	85.3015272018686	1.06154282892255
1415805_at	24.9456673156882	24.5603542413215	0.984553907919539
1415806_at	69.0286870539132	68.5979551885978	0.993760103462796
1415807_s_at	183.813529537014	200.522450058081	1.09090147261278
1415808_at	10.5951558683369	10.6298853871294	1.00327786766179
1415809_at	8.99438546002149	9.35861592247949	1.04049531389075
1415810_at	11.2343877616274	12.1890193514199	1.08497406445709
1415811_at	17.9282019628206	19.9956306672811	1.11531712487108
1415812_at	2343.76014201458	2251.84525683514	0.96078315202492
1415813_at	231.188073074956	207.125690831293	0.895918582980437
1415814_at	482.207263472335	457.92837550371	0.949650513777427
1415815_at	22.7731130744586	26.9658044920965	1.18410708294161
1415816_at	743.592375600001	665.960812815969	0.895599302344391
1415817_s_at	856.361538157375	699.092642295761	0.816352219414234
1415818_at	1111.90042131186	919.240879998906	0.826729500573757
1415819_a_at	806.164694909303	717.82461589533	0.890419315591696
1415820_x_at	392.233156195731	370.992600086212	0.945847117271954
1415821_at	602.433863958333	534.305386008711	0.886911274372959
1415822_at	243.654345557638	194.116644416597	0.796688620399249
1415823_at	91.1000920354815	79.3033510255025	0.870507913368688
1415824_at	17.122295055709	15.6518271578489	0.914119696391413
1415825_s_at	280.687998809238	238.243094707635	0.848782618844883
1415826_at	225.288016005492	250.832171838822	1.11338444133091
1415827_a_at	217.698076614686	227.136154783275	1.04335398050068
1415828_a_at	110.462772567232	107.689033998381	0.974889833883513
1415829_at	446.623982645935	395.515246705867	0.885566521445436
1415830_at	69.1766293934752	63.9768252227341	0.924832935395498
1415831_at	2342.96909258339	2025.42344966154	0.86446870173105
1415832_at	9.59024610423235	9.23793140278175	0.963263226238259
1415833_x_at	6234.84043130249	6171.85311701283	0.989897525849511
1415834_at	177.488113173693	168.943722659428	0.951859364768258
1415835_at	10.4121081999053	10.6003873844754	1.01808271494641
1415836_at	46.913072709944	49.6167412564104	1.05763145303192
1415837_at	20.5834617583539	22.264181192037	1.08165387598133
1415838_at	1030.88733827003	1001.48856008978	0.971482064927111
1415839_a_at	1091.09403988405	1085.09254765134	0.994499564644907
1415840_at	206.40980688541	180.615586229539	0.875033938333218
1415841_at	328.541161829095	292.112906067661	0.889121181776352
1415842_at	148.405890248533	150.041935801617	1.01102412815518
1415843_at	46.2064763857116	44.5357731079037	0.96384265997992
1415844_at	7.65035320971614	8.03631731591605	1.05045049497973
1415845_at	14.1023379356064	14.3195517169094	1.0154026787824
1415846_a_at	16.1631304568173	18.0131584749334	1.11445975908311
1415847_at	25.8060642016194	27.1508744359247	1.05211217889712
1415848_at	123.967316687645	129.623585669295	1.04562709859973
1415849_s_at	253.82507779138	217.998694733104	0.858854044801194
1415850_at	95.0301766463823	106.692538466201	1.12272272062816
1415851_a_at	983.354209885644	996.39305066673	1.01325955657687
1415852_at	840.405233224195	716.285338460741	0.852309469460023
1415853_at	355.611745259317	339.156131029019	0.953725897837545
1415854_at	18.5974375498333	17.8822936696808	0.961546106648495
1415855_at	585.258097939943	581.3304354085	0.993289007797983
1415856_at	16.1032664992461	18.3843465727695	1.14165325237772
1415857_at	64.1945603077872	77.5071748618314	1.20737916873666
1415858_at	1606.40202637548	1501.76337982172	0.934861482470946
1415859_at	724.943879386967	619.215902740599	0.85415701869809
1415860_at	163.82545083086	160.623030385315	0.980452240910655
1415861_at	10.7493677597386	10.5332887530849	0.979898445054322
1415862_at	17.1262399096337	19.7217223347013	1.15155004477122
1415863_at	2316.07759899068	2423.31868730012	1.04630289086867
1415864_at	274.047964002974	204.007227132455	0.744421612014753
1415865_s_at	389.186732541601	346.253864128228	0.889685683443015
1415866_at	52.3388811536394	51.4331703563506	0.982695258719228
1415867_at	1754.68963850883	1763.47432611102	1.00500640535477
1415868_at	16.2336536953811	17.957399965807	1.10618350636101
1415869_a_at	401.034035071337	344.21005767812	0.858306347033341
1415870_at	931.249861538823	975.329997343617	1.0473343810564
1415871_at	83.3916205867126	81.7131824941849	0.979872820785603
1415872_at	1017.33690563465	1045.90435501371	1.02808061834859
1415873_a_at	542.340844792616	506.341027150332	0.933621415410728
1415874_at	264.495262671506	235.092204075919	0.888833326167717
1415875_at	17.4472016921379	16.5192707985048	0.94681491565199
1415876_a_at	3131.83266119667	3166.59958219741	1.01110114260941
1415877_at	37.9473004230412	35.3243628765344	0.93087946923059
1415878_at	159.591230333931	135.743033187792	0.850566994839013
1415879_a_at	4988.01211862136	4751.1034302301	0.952504387969142
1415880_a_at	3519.57600764221	3480.82267483587	0.988989204176245
1415881_at	3094.36912180945	3183.59454202454	1.02883476944823
1415882_at	2822.96742470819	2944.81628218919	1.04316339480736
1415883_a_at	14.5296066372605	17.3564170104801	1.19455518953764
1415884_at	76.6046587389986	89.755216460051	1.17166785855489
1415885_at	16.7989308939822	20.5433632648277	1.22289706377606
1415886_at	111.194269826568	103.022541698973	0.926509449269814
1415887_at	1417.9221904106	1473.69261211891	1.03933249799283
1415888_at	934.83920813704	751.715969040459	0.804112581604797
1415889_a_at	759.764347992657	843.821693541734	1.11063607521353
1415890_at	153.882441411325	139.96876770824	0.909582447643301
1415891_at	2198.52431196682	2123.73803526359	0.965983420653502
